9LJM.1T.3.2-T  tool_call  ha_history_get_sensor_stats  (1679 tokens)
  call  {"aggregations":["min"],"end_time":"2026-02-28","entity_ids":["sensor.ruuvitag_fc8f_temperature"],"interval":"day","start_time":"2025-12-01"}
  result
    Sensors: Ruuvi Outdoor Temperature
    Period: 2025-12-01 → 2026-03-01
    Aggregation: min per day
    Unit: °C
    Rows: 90
    
    time       | ruuvi outdoor temperature
    2025-12-01 | 6.2                      
    2025-12-02 | 2.7                      
    2025-12-03 | 5.1                      
    2025-12-04 | 4.4                      
    2025-12-05 | 4.2                      
    2025-12-06 | 4.6                      
    2025-12-07 | 4.4                      
    2025-12-08 | 0.4                      
    2025-12-09 | 1.9                      
    2025-12-10 | 2.3                      
    2025-12-11 | 0.9                      
    2025-12-12 | 2.4                      
    2025-12-13 | 3.4                      
    2025-12-14 | 8.1                      
    2025-12-15 | 8.2                      
    2025-12-16 | 2.1                      
    2025-12-17 | 4.8                      
    2025-12-18 | 7                        
    2025-12-19 | 1.3                      
    2025-12-20 | -2.3                     
    2025-12-21 | -3.5                     
    2025-12-22 | -2                       
    2025-12-23 | -4.7                     
    2025-12-24 | -4.7                     
    2025-12-25 | -2.9                     
    2025-12-26 | -2.9                     
    2025-12-27 | -4.9                     
    2025-12-28 | -5.9                     
    2025-12-29 | -3.9                     
    2025-12-30 | -4.8                     
    2025-12-31 | -1.7                     
    2026-01-01 | -6.1                     
    2026-01-02 | -6.1                     
    2026-01-03 | -5.6                     
    2026-01-04 | -6.5                     
    2026-01-05 | -9.6                     
    2026-01-06 | -10.7                    
    2026-01-07 | -11.4                    
    2026-01-08 | -7.3                     
    2026-01-09 | -12.4                    
    2026-01-10 | -14.9                    
    2026-01-11 | -13.1                    
    2026-01-12 | -4                       
    2026-01-13 | -4.9                     
    2026-01-14 | -4.9                     
    2026-01-15 | 2.2                      
    2026-01-16 | 2.5                      
    2026-01-17 | 2.5                      
    2026-01-18 | 1.5                      
    2026-01-19 | -1.3                     
    2026-01-20 | -1.5                     
    2026-01-21 | -1.8                     
    2026-01-22 | -2.7                     
    2026-01-23 | -2.9                     
    2026-01-24 | -2.8                     
    2026-01-25 | -7.9                     
    2026-01-26 | -5.5                     
    2026-01-27 | -5.7                     
    2026-01-28 | -8                       
    2026-01-29 | -5                       
    2026-01-30 | -4.1                     
    2026-01-31 | -4                       
    2026-02-01 | -4.8                     
    2026-02-02 | -4.8                     
    2026-02-03 | -4.7                     
    2026-02-04 | -6.5                     
    2026-02-05 | -7.3                     
    2026-02-06 | -4.6                     
    2026-02-07 | -6.4                     
    2026-02-08 | -7.2                     
    2026-02-09 | -9                       
    2026-02-10 | -4.4                     
    2026-02-11 | -5.2                     
    2026-02-12 | -4.4                     
    2026-02-13 | -10.2                    
    2026-02-14 | -10.7                    
    2026-02-15 | -5                       
    2026-02-16 | -5.9                     
    2026-02-17 | -9.7                     
    2026-02-18 | -12.5                    
    2026-02-19 | -6.5                     
    2026-02-20 | -3.8                     
    2026-02-21 | -8.1                     
    2026-02-22 | -0.5                     
    2026-02-23 | -6                       
    2026-02-24 | -0.8                     
    2026-02-25 | 1.7                      
    2026-02-26 | 2.9                      
    2026-02-27 | 1.1                      
    2026-02-28 | 0.9                      

